molecule_id,smiles,agent_rank,agent_decision,mw,logp,tpsa,hbd,hba,sa_score,rotb,qed,vina_score,cnn_score,key_hbond_count,clash_count,route_found,route_steps,route_confidence,buyable_building_blocks,ligand_file,pose_file,route_file
MOL-D87CC67DED,O=C(NCCO)c1ccccc1,1,watch,165.192,0.409,49.33,2,2,2.130,3,0.681,-3.41,,4,0,1,1,0.990,3,student_tool_runs/data/ligands/MOL-D87CC67DED.sdf,student_tool_runs/data/poses/MOL-D87CC67DED_gnina_pose.sdf,student_tool_runs/data/retrosynthesis/MOL-D87CC67DED/aizynthfinder_routes.json
MOL-450DC51730,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(SCC(=O)O)cc23)c1F,2,watch,469.491,3.401,129.22,3,6,4.715,9,0.324,-3.52,,5,0,1,3,0.987,6,student_tool_runs/data/ligands/MOL-450DC51730.sdf,student_tool_runs/data/poses/MOL-450DC51730_gnina_pose.sdf,student_tool_runs/data/retrosynthesis/MOL-450DC51730/aizynthfinder_routes.json
MOL-62E15AFF71,CC(C)NC(=O)c1ccccc1,,,163.220,1.825,29.10,1,1,2.050,3,0.708,-1.75,0.10,2,0,1,1,0.990,2,student_tool_runs/data/ligands/MOL-62E15AFF71.sdf,student_tool_runs/data/poses/MOL-62E15AFF71_gnina_pose.sdf,student_tool_runs/data/retrosynthesis/MOL-62E15AFF71/aizynthfinder_routes.json
MOL-72DA7467ED,CC(C)(C)c1nc(NC(=O)CCNS(=O)(=O)c2c(F)cccc2F)c(-c2ccnc(N)n2)s1,,,496.565,3.065,139.96,3,8,4.665,10,0.457,-4.47,,5,0,0,6,0.798,6,student_tool_runs/data/ligands/MOL-72DA7467ED.sdf,student_tool_runs/data/poses/MOL-72DA7467ED_gnina_pose.sdf,student_tool_runs/data/retrosynthesis/MOL-72DA7467ED/aizynthfinder_routes.json
MOL-AB0A4C6BC4,CCOC(=O)Nc1ccccc1,,,165.192,2.255,38.33,1,2,2.130,3,0.729,6.68,0.28,3,0,1,1,0.990,3,student_tool_runs/data/ligands/MOL-AB0A4C6BC4.sdf,student_tool_runs/data/poses/MOL-AB0A4C6BC4_gnina_pose.sdf,student_tool_runs/data/retrosynthesis/MOL-AB0A4C6BC4/aizynthfinder_routes.json

